,index,2013-01-07 00:00:00,2013-01-14 00:00:00,2013-01-21 00:00:00,2013-01-28 00:00:00,2013-02-04 00:00:00,2013-02-11 00:00:00,2013-02-18 00:00:00,2013-02-25 00:00:00,2013-03-04 00:00:00,2013-03-11 00:00:00,2013-03-18 00:00:00,2013-03-25 00:00:00,2013-04-01 00:00:00,2013-04-08 00:00:00,2013-04-15 00:00:00,2013-04-22 00:00:00,2013-04-29 00:00:00,2013-05-06 00:00:00,2013-05-13 00:00:00,2013-05-20 00:00:00,2013-05-27 00:00:00,2013-06-03 00:00:00,2013-06-10 00:00:00,2013-06-17 00:00:00,2013-06-24 00:00:00,2013-07-01 00:00:00,2013-07-08 00:00:00,2013-07-15 00:00:00,2013-07-22 00:00:00,2013-07-29 00:00:00,2013-08-05 00:00:00,2013-08-12 00:00:00,2013-08-19 00:00:00,2013-08-26 00:00:00,2013-09-02 00:00:00,2013-09-09 00:00:00,2013-09-16 00:00:00,2013-09-23 00:00:00,2013-09-30 00:00:00,2013-10-07 00:00:00,2013-10-14 00:00:00,2013-10-21 00:00:00,2013-10-28 00:00:00,2013-11-04 00:00:00,2013-11-11 00:00:00,2013-11-18 00:00:00,2013-11-25 00:00:00,2013-12-02 00:00:00,2013-12-09 00:00:00,2013-12-16 00:00:00,2013-12-23 00:00:00,2013-12-30 00:00:00,yield
0,14,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.254,0.249,0.247,0.27,0.28,0.28800000000000003,0.296,0.325,0.348,0.354,0.468,0.513,0.5925,0.672,0.694,0.724,0.729,0.75,0.726,0.7113333333333334,0.6966666666666667,0.682,0.504,0.472,0.443,0.422,0.39,0.384,0.378,0.35233333333333333,0.32666666666666666,0.301,0.259,0.27,0.323,0.402,0.45533333333333337,0.5086666666666667,0.562,0.544,0.514,0.508,0.508,0.508,1.87
1,15,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.269,0.283,0.273,0.268,0.291,0.3295,0.368,0.373,0.395,0.435,0.519,0.538,0.618,0.698,0.72,0.732,0.764,0.78,0.763,0.7523333333333333,0.7416666666666667,0.731,0.632,0.533,0.498,0.488,0.484,0.4775,0.471,0.458,0.40249999999999997,0.347,0.315,0.333,0.392,0.452,0.48433333333333334,0.5166666666666667,0.549,0.585,0.55,0.536,0.536,0.536,1.19
2,53,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.224,0.235,0.24,0.246,0.247,0.26649999999999996,0.286,0.316,0.38,0.464,0.575,0.583,0.697,0.72,0.754,0.788,0.79,0.775,0.761,0.74,0.719,0.698,0.45,0.482,0.456,0.432,0.458,0.4515,0.445,0.426,0.40700000000000003,0.388,0.345,0.345,0.36,0.465,0.513,0.5609999999999999,0.609,0.608,0.598,0.579,0.512,0.512,3.09
3,54,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.198,0.256,0.251,0.231,0.232,0.2425,0.253,0.272,0.334,0.401,0.562,0.61,0.744,0.772,0.792,0.811,0.804,0.781,0.787,0.7366666666666667,0.6863333333333334,0.636,0.376,0.402,0.372,0.344,0.351,0.3565,0.362,0.3526666666666667,0.3433333333333333,0.334,0.329,0.331,0.343,0.478,0.49933333333333335,0.5206666666666667,0.542,0.629,0.629,0.633,0.587,0.587,2.9
4,57,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.21,0.218,0.224,0.228,0.276,0.2935,0.311,0.351,0.381,0.479,0.538,0.593,0.742,0.744,0.758,0.785,0.777,0.728,0.717,0.712,0.707,0.702,0.542,0.551,0.552,0.543,0.305,0.308,0.311,0.2996666666666667,0.28833333333333333,0.277,0.26,0.312,0.376,0.434,0.48433333333333334,0.5346666666666666,0.585,0.582,0.567,0.534,0.49,0.49,1.8
5,58,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.281,0.29,0.287,0.273,0.267,0.30300000000000005,0.339,0.356,0.39,0.461,0.563,0.572,0.664,0.741,0.759,0.782,0.787,0.78,0.785,0.7843333333333333,0.7836666666666667,0.783,0.689,0.687,0.665,0.652,0.666,0.529,0.392,0.383,0.374,0.365,0.345,0.327,0.31,0.322,0.33866666666666667,0.35533333333333333,0.372,0.38,0.344,0.343,0.346,0.346,1.2
6,60,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.333,0.32,0.33,0.332,0.372,0.3845,0.397,0.41,0.488,0.599,0.608,0.5,0.569,0.705,0.703,0.714,0.671,0.701,0.756,0.762,0.768,0.774,0.599,0.588,0.57,0.565,0.535,0.4665,0.398,0.39866666666666667,0.3993333333333334,0.4,0.393,0.356,0.24,0.288,0.316,0.344,0.372,0.391,0.374,0.374,0.406,0.406,1.2
7,66,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.222,0.23,0.241,0.233,0.227,0.235,0.243,0.272,0.3,0.316,0.426,0.494,0.581,0.724,0.735,0.757,0.76,0.706,0.735,0.739,0.743,0.747,0.597,0.555,0.515,0.515,0.483,0.4805,0.478,0.42533333333333334,0.37266666666666665,0.32,0.302,0.299,0.308,0.382,0.4073333333333333,0.4326666666666667,0.458,0.493,0.47,0.461,0.412,0.412,3.15
8,67,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.215,0.224,0.237,0.232,0.237,0.2545,0.272,0.296,0.339,0.378,0.493,0.485,0.599,0.759,0.763,0.788,0.797,0.77,0.758,0.753,0.748,0.743,0.57,0.536,0.501,0.504,0.468,0.4445,0.421,0.389,0.357,0.325,0.293,0.288,0.274,0.263,0.2946666666666667,0.3263333333333333,0.358,0.359,0.354,0.347,0.327,0.327,2.49
9,68,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.233,0.245,0.278,0.284,0.272,0.2895,0.307,0.31,0.342,0.39,0.57,0.548,0.699,0.718,0.737,0.753,0.763,0.715,0.71,0.702,0.6940000000000001,0.686,0.452,0.437,0.388,0.379,0.322,0.3125,0.303,0.2946666666666667,0.28633333333333333,0.278,0.249,0.279,0.341,0.412,0.47433333333333333,0.5366666666666666,0.599,0.576,0.572,0.56,0.501,0.501,3.13
10,69,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.203,0.218,0.22,0.22,0.224,0.2405,0.257,0.276,0.301,0.343,0.506,0.535,0.706,0.752,0.769,0.778,0.784,0.756,0.752,0.751,0.75,0.749,0.601,0.591,0.584,0.576,0.554,0.5335000000000001,0.513,0.4603333333333333,0.4076666666666667,0.355,0.35,0.309,0.284,0.294,0.298,0.302,0.306,0.316,0.296,0.29,0.304,0.304,3.05
11,75,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.257,0.265,0.273,0.276,0.284,0.3205,0.357,0.407,0.472,0.496,0.615,0.585,0.602,0.6545,0.707,0.712,0.712,0.704,0.708,0.7096666666666667,0.7113333333333333,0.713,0.669,0.626,0.592,0.577,0.563,0.49,0.417,0.41933333333333334,0.42166666666666663,0.424,0.418,0.413,0.392,0.421,0.44366666666666665,0.4663333333333333,0.489,0.424,0.415,0.419,0.5,0.5,1.62
12,80,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.246,0.283,0.274,0.255,0.252,0.27249999999999996,0.293,0.321,0.35,0.38,0.455,0.496,0.507,0.6025,0.698,0.728,0.755,0.718,0.706,0.6613333333333333,0.6166666666666666,0.572,0.398,0.402,0.381,0.372,0.286,0.2855,0.285,0.287,0.289,0.291,0.296,0.322,0.367,0.386,0.415,0.444,0.473,0.476,0.479,0.471,0.43,0.43,1.95
13,83,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.3,0.3035,0.307,0.322,0.305,0.319,0.333,0.366,0.415,0.42,0.485,0.475,0.447,0.45,0.453,0.455,0.525,0.599,0.647,0.679,0.711,0.743,0.702,0.661,0.603,0.549,0.438,0.437,0.436,0.4246666666666667,0.41333333333333333,0.402,0.371,0.358,0.344,0.35,0.36566666666666664,0.38133333333333336,0.397,0.407,0.41,0.383,0.372,0.372,1.43
14,84,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.284,0.305,0.3,0.285,0.294,0.317,0.34,0.406,0.481,0.551,0.589,0.598,0.61,0.581,0.58,0.584,0.606,0.611,0.643,0.6443333333333333,0.6456666666666667,0.647,0.562,0.557,0.507,0.483,0.468,0.461,0.454,0.437,0.427,0.417,0.386,0.347,0.304,0.306,0.31766666666666665,0.32933333333333337,0.341,0.346,0.333,0.309,0.31,0.31,1.05
15,95,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.222,0.229,0.246,0.252,0.257,0.27,0.283,0.305,0.368,0.447,0.542,0.541,0.552,0.6265000000000001,0.701,0.751,0.77,0.758,0.75,0.75,0.75,0.75,0.611,0.542,0.497,0.493,0.483,0.4345,0.386,0.3706666666666667,0.35533333333333333,0.34,0.304,0.331,0.44,0.502,0.5566666666666666,0.6113333333333334,0.666,0.65,0.634,0.626,0.56,0.56,2.99
16,96,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.32,0.332,0.323,0.316,0.315,0.362,0.409,0.471,0.506,0.541,0.611,0.66,0.669,0.652,0.635,0.64,0.658,0.676,0.678,0.6856666666666666,0.6933333333333334,0.701,0.463,0.495,0.492,0.485,0.487,0.4675,0.448,0.43733333333333335,0.42666666666666664,0.416,0.437,0.384,0.363,0.445,0.4603333333333333,0.4756666666666667,0.491,0.513,0.524,0.493,0.425,0.425,1.86
17,97,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.225,0.228,0.244,0.254,0.256,0.29300000000000004,0.33,0.326,0.339,0.345,0.445,0.516,0.5976666666666667,0.6793333333333333,0.761,0.786,0.808,0.792,0.777,0.77,0.763,0.756,0.62,0.502,0.443,0.444,0.449,0.4525,0.456,0.41233333333333333,0.3686666666666667,0.325,0.289,0.293,0.322,0.329,0.3646666666666667,0.4003333333333333,0.436,0.422,0.418,0.433,0.444,0.444,2.78
