,stn,wban,yearmoda,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxspd,gust,max,min,prcp,sndp,frshtt
0,337610,99999,20150101,17.6,7,13.6,7,1027.6,7,1003.8,7,5.8,7,4.2,7,7.8,999.9,29.8*,2.1,0.00E,2.4,001000
1,337610,99999,20150102,32.0,8,29.1,8,1020.3,8,997.4,8,5.7,8,4.9,8,7.8,999.9,33.3,26.6,0.00I,2.4,000000
2,337610,99999,20150103,35.8,7,29.0,7,1013.8,7,991.2,7,11.5,7,8.3,7,9.7,999.9,40.6,30.2,0.02E,999.9,000000
3,337610,99999,20150104,32.1,8,26.1,8,1006.6,8,984.0,8,8.7,8,5.6,8,7.8,999.9,36.0,29.5*,0.00E,1.2,000000
4,337610,99999,20150105,29.4,7,27.0,7,1007.8,7,985.1,7,5.1,7,6.1,7,7.8,999.9,32.7,26.2*,0.01F,0.8,001000
5,337610,99999,20150106,18.7,7,14.7,7,1017.3,7,993.8,7,5.0,7,7.8,7,17.5,999.9,25.7,13.6*,0.00F,1.2,001000
6,337610,99999,20150107,6.6,7,-2.5,7,1033.3,7,1008.7,7,12.4,7,8.6,7,13.6,999.9,10.6,4.5,0.00E,1.6,000000
7,337610,99999,20150108,4.5,8,-1.2,8,1038.4,6,1014.0,8,9.4,8,3.1,5,5.8,999.9,13.3,-1.1,0.00I,1.6,000000
8,337610,99999,20150109,15.1,7,11.2,7,1019.8,6,996.0,7,7.7,7,8.0,7,11.7,999.9,28.6*,0.9,0.08E,1.2,001000
9,337610,99999,20150110,35.4,7,31.5,7,1002.8,7,980.4,7,8.6,7,5.5,7,7.8,999.9,37.9,24.4,0.04E,3.1,001000
10,337610,99999,20150111,38.2,7,31.3,7,1004.8,7,982.5,7,10.7,7,5.8,7,9.7,999.9,42.1,33.8*,0.04E,1.2,000000
11,337610,99999,20150112,35.7,8,27.7,8,1013.0,8,990.4,8,10.9,8,6.6,8,9.7,999.9,38.8,33.6,0.00I,0.8,000000
12,337610,99999,20150113,34.5,8,26.0,8,1023.1,8,1000.2,8,11.2,8,6.8,8,9.7,999.9,41.0,29.5*,0.00I,0.4,000000
13,337610,99999,20150114,30.9,8,28.3,8,1019.7,8,996.7,8,5.2,8,6.1,8,9.7,999.9,39.2,25.5,0.00I,0.4,100000
14,337610,99999,20150115,32.2,8,31.1,8,1017.4,8,994.5,8,2.6,8,4.6,8,7.8,999.9,33.6,29.7,0.00I,999.9,100000
15,337610,99999,20150116,31.7,8,31.1,8,1025.6,8,1002.5,8,2.0,8,4.6,8,5.8,999.9,32.9*,29.8*,0.00E,999.9,110000
16,337610,99999,20150117,32.6,8,31.8,8,1025.0,8,1002.0,8,1.5,8,9.5,8,11.7,999.9,35.8*,29.1,0.00I,999.9,100000
