,stn,wban,yearmoda,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxspd,gust,max,min,prcp,sndp,frshtt
0,337610,99999,20130101,28.4,8,25.0,8,1022.5,8,999.4,8,7.4,8,5.3,8,7.8,999.9,35.6,19.9,0.00I,3.9,100000
1,337610,99999,20130102,32.4,8,30.8,8,1022.8,8,999.9,8,3.3,8,6.8,8,9.7,999.9,36.7,26.2*,0.00I,3.9,100000
2,337610,99999,20130103,29.1,8,23.1,8,1025.3,8,1002.1,8,10.6,8,4.4,8,5.8,999.9,37.4,21.7,0.00I,3.5,000000
3,337610,99999,20130104,32.7,7,29.9,7,1012.6,7,989.9,7,5.3,7,7.5,7,7.8,999.9,37.0,30.2,0.13F,4.3,011000
4,337610,99999,20130105,33.7,7,32.1,7,1006.9,7,984.3,7,4.4,7,5.5,7,7.8,999.9,35.2,32.5*,0.05F,4.3,001000
5,337610,99999,20130106,28.7,7,22.1,7,1010.6,7,987.7,7,11.2,7,6.7,7,9.7,999.9,31.6*,24.8*,0.00F,4.3,001000
6,337610,99999,20130107,21.9,7,18.3,6,1015.5,6,992.1,6,5.2,7,8.9,7,15.5,999.9,22.8,19.4,0.08F,5.1,001000
7,337610,99999,20130108,22.5,6,18.9,6,1021.2,6,997.8,6,8.5,6,12.3,6,17.5,999.9,24.3,20.7,0.08F,7.5,001000
8,337610,99999,20130109,13.2,7,9.2,7,1023.1,7,999.1,7,9.9,7,5.0,7,7.8,999.9,19.8*,5.5*,0.00E,5.1,001000
9,337610,99999,20130110,14.5,6,10.9,6,1015.8,6,992.1,6,7.8,6,5.8,6,7.8,999.9,22.1*,3.7,0.00F,6.7,001000
10,337610,99999,20130111,23.2,8,20.1,8,1009.5,8,986.4,8,7.3,8,3.2,8,5.8,999.9,29.3,16.7*,0.00I,5.9,000000
11,337610,99999,20130112,16.7,7,16.0,7,1015.1,7,991.5,7,1.7,7,2.5,7,3.9,999.9,24.3,12.2,0.03E,5.9,101000
12,337610,99999,20130113,13.9,8,13.1,8,1023.8,8,999.9,8,1.8,8,2.2,8,3.9,999.9,15.8,10.9,0.00I,6.3,100000
13,337610,99999,20130114,13.5,8,12.5,8,1031.4,8,1007.3,8,1.5,8,2.2,8,5.8,999.9,21.0*,6.1,0.00I,6.3,100000
14,337610,99999,20130115,30.1,8,28.4,8,1022.9,8,999.8,8,2.6,8,10.2,8,13.6,999.9,37.6*,19.4,0.00I,5.9,100000
15,337610,99999,20130116,38.9,7,37.9,7,1009.9,7,987.6,7,2.1,7,9.2,7,11.7,999.9,42.8,36.3,0.00H,4.3,110000
16,337610,99999,20130117,36.1,6,36.1,6,1003.6,6,981.2,6,0.2,6,3.6,6,5.8,999.9,38.5*,33.4*,0.04F,999.9,110000
17,337610,99999,20130118,32.5,7,31.6,7,1009.2,7,986.5,7,1.8,7,6.1,7,7.8,999.9,34.5*,31.6*,0.08F,999.9,110000
18,337610,99999,20130119,38.5,6,38.1,6,1000.2,6,978.0,6,1.5,6,7.8,6,9.7,999.9,40.1,32.7,0.56F,999.9,110000
19,337610,99999,20130120,31.3,7,29.7,7,1005.0,7,982.4,7,3.4,7,3.6,7,5.8,999.9,35.4,29.5*,0.00E,999.9,100000
20,337610,99999,20130121,36.1,8,35.0,8,1004.7,8,982.2,8,2.2,8,5.1,8,9.7,999.9,42.1,29.3,0.00I,999.9,100000
21,337610,99999,20130122,37.0,7,36.5,7,1001.4,7,979.1,7,1.2,7,5.3,7,9.7,999.9,41.9,34.2,0.35E,999.9,110000
22,337610,99999,20130123,28.3,7,25.5,7,1006.7,7,983.9,7,5.6,7,4.7,7,5.8,999.9,30.9*,26.6*,0.08E,999.9,000000
23,337610,99999,20130124,25.0,8,20.0,8,1012.6,8,989.5,8,7.5,8,4.4,8,5.8,999.9,27.7,22.1*,0.00E,999.9,001000
24,337610,99999,20130125,19.1,7,16.9,7,1013.5,7,990.1,7,2.0,7,13.0,7,19.4,999.9,22.5,14.5*,0.16E,999.9,001000
25,337610,99999,20130126,17.8,7,11.7,7,1019.0,7,995.4,7,8.9,7,13.9,7,19.4,999.9,20.7,14.4,0.08E,3.5,000000
26,337610,99999,20130127,18.2,8,14.4,8,1017.5,8,994.0,8,8.3,8,7.3,8,11.7,999.9,19.9,14.9,0.00I,3.5,000000
27,337610,99999,20130128,21.8,7,19.4,7,1017.7,7,994.3,7,2.6,7,5.5,7,5.8,999.9,23.9,18.0,0.06F,3.9,001000
28,337610,99999,20130129,23.8,8,20.5,8,1018.6,8,995.3,8,5.0,8,3.2,8,5.8,999.9,27.3,19.2*,0.00I,3.9,000000
29,337610,99999,20130130,24.0,8,16.8,8,1016.5,8,993.2,8,8.7,8,3.2,8,7.8,999.9,31.1,18.7,0.00I,3.9,000000
30,337610,99999,20130131,27.4,7,24.8,7,1008.8,7,985.9,7,4.9,7,7.5,7,9.7,999.9,35.6*,18.5,0.16E,3.5,001000
31,337610,99999,20130201,35.8,7,29.8,7,1005.8,7,983.4,7,11.5,7,4.4,7,5.8,999.9,40.8,34.2,0.00E,4.3,000000
32,337610,99999,20130202,35.0,8,31.5,8,1005.0,8,982.5,8,7.0,8,8.5,8,13.6,999.9,37.6,30.0,0.00E,2.4,010000
33,337610,99999,20130203,35.5,7,35.4,7,1002.6,7,980.2,7,0.5,7,3.1,7,9.7,999.9,37.4*,33.4*,0.00E,2.0,100000
34,337610,99999,20130204,33.7,7,27.3,7,1012.6,7,989.9,7,9.6,7,5.8,7,7.8,999.9,36.7,31.3*,0.08E,999.9,000000
35,337610,99999,20130205,33.1,8,27.9,8,1013.2,8,990.5,8,7.8,8,7.0,8,9.7,999.9,42.1,28.4,0.00I,999.9,000000
36,337610,99999,20130206,35.8,8,34.1,8,1008.5,8,986.0,8,4.1,8,8.7,8,11.7,999.9,40.6,32.2,0.00I,999.9,000000
